Category,Title,Date,Venue,Locations,Link,Image Src,Image Alt,Description
Exhibition,Rhys Lee. Like An Ass Whose Back With Ingots Bows,20 Jul 2023 – 05 Aug 2023,OMNI,"London, United Kingdom",https://www.artrabbit.com/events/rhys-lee-like-an-ass-whose-back-with-ingots-bows,img.artrabbit.com/events/rhys-lee-like-an-ass-whose-back-with-ingots-bows/images/MGRf7DMbxYZL/350x350/RHYS-LEE.jpg,Rhys Lee. Like An Ass Whose Back With Ingots Bows,"OMNI is pleased to present a new body of work by Australian artist, Rhys Lee, whose exhibition ‘Like an ass whose back with ingots bows’ will be opening on 20th July 2021. Lee received a BA in Visual Arts from Queensland College of Art, Brisbane in 1997 and his work has been widely collected and exhibited in the twenty-six years since."
Exhibition,Eleanor McLean - Promise,20 Jul 2023 – 31 Aug 2023,London Arts Board,"London, United Kingdom",https://www.artrabbit.com/events/eleanor-mclean-promise,img.artrabbit.com/events/eleanor-mclean-promise/images/CuRhFTXzCvcC/350x244/eleanor-mclean-arts-board.jpg,Eleanor McLean - Promise,⏲Opening on Thursday 20th July with Eleanor McLean! 💜❤️
Student Show,Microclimates: MA Global Collaborative Design Practice,20 Jul 2023 – 27 Jul 2023,"Peckham Level,  5 Auditorium","London, United Kingdom",https://www.artrabbit.com/events/microclimates-ma-global-collaborative-design-practice,img.artrabbit.com/events/microclimates-ma-global-collaborative-design-practice/images/WbsUpbfQaOOj/350x175/https-cdn-evbuc-com-images-548885499-185350615260-1-original.jpg,Microclimates: MA Global Collaborative Design Practice,"Microclimates is a celebration of work from MA Global Collaborative Design Practice students, showcasing how new forms of design can intervene at the intersection of social and climate justice. The exhibition playfully explores how ecosystems of multidisciplinary projects can work together to create global change."
Event,LigthSounds 2023,20 Jul 2023 – 22 Jul 2023,Rich Mix,"London, United Kingdom",https://www.artrabbit.com/events/ligthsounds-2023,img.artrabbit.com/events/ligthsounds-2023/images/ekm2L1LxVVQ5/350x350/ls-icon.jpg,LigthSounds 2023,"LightSounds is an international festival dedicated entirely to audiovisual art, bringing attention to it as a standalone artform, and not a derivative, peripheral form stemming from either music or visual art. LightSounds is an international festival dedicated entirely to audiovisual art, bringing attention to it as a standalone artform, and not a derivative, peripheral form stemming from either music or visual art. Therefore, it aims to invite artists who, either in collaboration with other festival artists or solo, will present concerts, performances and installations that fuse the musical and visual arts into one integral, aesthetic experience. In 2023 the inaugural edition is taking place and boasts a 3-day programme including concerts, performances and installations."
Exhibition,Goldsmiths Postgraduate Fine Art Degree Shows 2023,20 Jul 2023 – 25 Jul 2023,"Goldsmiths, University of London","London, United Kingdom",https://www.artrabbit.com/events/goldsmiths-postgraduate-fine-art-degree-shows-2023,img.artrabbit.com/events/goldsmiths-postgraduate-fine-art-degree-shows-2023/images/ltW2gkXVIRVU/350x196/PG-Invite-v2.jpg,Goldsmiths Postgraduate Fine Art Degree Shows 2023,"Please join us for the 2023 Postgraduate Degree Exhibitions. Showcasing work by graduating artists from the MFA Fine Art, MA Artists' Film & Moving Image, MA Art & Ecology and Graduate Diploma in Art courses at Goldsmiths: the shows contain work from a broad range of practices including digital media, film, installation, painting, performance, photography, print, sculpture, sound, textiles and writing."
Exhibition,Beyond a Priori,20 Jul 2023 – 23 Jul 2023,SEASON Gallery,"London, United Kingdom",https://www.artrabbit.com/events/beyond-a-priori,img.artrabbit.com/events/beyond-a-priori/images/lWivary2PsCW/350x290/season-gallery.jpg,Beyond a Priori,"📣 We invite you to engage with interactive installations, sound landscapes, videos, web-based experiences, and sculptures that each reimagine the future of digitized intelligence! 📣"
Exhibition,“‘Surging Silence'” Curated By Nanying Zhu And Jingxuan Lyu,20 Jul 2023 – 16 Aug 2023,Hypha Studios,"London, United Kingdom",https://www.artrabbit.com/events/surging-silence-curated-by-nanying-zhu-and-jingxuan-lyu,img.artrabbit.com/events/surging-silence-curated-by-nanying-zhu-and-jingxuan-lyu/images/ymcVaX63YKuT/350x622/SURGING-SILENCE-Potrait-poster.jpg,“‘Surging Silence'” Curated By Nanying Zhu And Jingxuan Lyu,"Based on a cross-cultural and geographical perspective of borders, 21 artists focus on the ongoing flux brought about by social rules and spatial shackles as identity fluidly occurs. In collaboration with Hypha Studios, ‘Surging Silence’ presents works from 21 emerging global artists. Based on a cross-cultural and geographical perspective of borders, they focus on the ongoing flux, exploring the intense emotional changes and bodily perceptions brought about by social rules and spatial shackles as identity fluidly occurs. This exhibition demonstrates how artists re-examine individual experiences in the context of disordered time and fractured territories."
Art Fair,Cicek Art Fair,20 Jul 2023 – 02 Aug 2023,Unit 3 & The Landing Gallery,"London, United Kingdom",https://www.artrabbit.com/events/cicek-art-fair,img.artrabbit.com/events/cicek-art-fair/images/ultg9wv1GOwl/350x350/Cicek-Gallery-ArtReview-FullPage-3-1024x1024.jpg,Cicek Art Fair,"We can finally announce the inaugural Cicek Art Fair is launching this month! From 20 July – 02 August we will be open in the wonderfully supportive Gaunson House, in South Tottenham. Come along to see fabulous artworks priced exclusively under £2,000. We’re so proud to open London newest independent art fair, working alongside some of the hottest artists in London right now."
Exhibition,... Freshly as if my eye were still growing,20 Jul 2023 – 30 Jul 2023,APT Gallery (Art in Perpetuity Trust),"London, United Kingdom",https://www.artrabbit.com/events/freshly-as-if-my-eye-were-still-growing,img.artrabbit.com/events/freshly-as-if-my-eye-were-still-growing/images/fP4IQWMxSqQT/350x356/lead-image-by-Mary-Furniss.jpg,... Freshly as if my eye were still growing,"A group exhibition of international contemporary artists alongside the work of British figurative painter Ken Kiff. Taking its title from a quote by Gerard Manley Hopkins, this exhibition takes Hopkin’s idea of the ‘inscape’ as a jumping off point to explore the distillation of form and cartoon compression of a subject into painted and sculpted images. The exhibition will consist of paintings and sculptures both wall and floor based and seek to create an environment which hovers between the urban and rural, cerebral and bodily."
Exhibition,Zachary Ochoa. Manifest Destiny/ The Pretender,20 Jul 2023 – 05 Aug 2023,OMNI,"London, United Kingdom",https://www.artrabbit.com/events/zachary-ochoa-manifest-destiny-the-pretender,img.artrabbit.com/events/zachary-ochoa-manifest-destiny-the-pretender/images/K3F0b8MyYUl4/350x407/ZACHARY-OCHOa.jpg,Zachary Ochoa. Manifest Destiny/ The Pretender,"OMNI is pleased to be representing the trans, Milwaukee based artist, Zachary Ochoa, in their new exhibition, ‘Manifest Destiny/The Pretender’. Zachary Ochoa (born 1998, Aurora, Illinois) earned a BFA from the Milwaukee Institute of Art and Design (2020). They had a solo exhibition with Steve Turner, Los Angeles (2022) and have had works included in group exhibitions at Untitled Miami (2022) and Woaw, Hong Kong (2022). Ochoa creates paintings to explore their trans femme and Afro Latino identity."
Exhibition,The Rebellious Room,20 Jul 2023 – 30 Jul 2023,SET Kensington,"London, United Kingdom",https://www.artrabbit.com/events/the-rebellious-room,img.artrabbit.com/events/the-rebellious-room/images/rZW1jUGem9E9/350x437/Artboard-1.jpg,The Rebellious Room,The Rebellious Room | An interactive design exhibition ✨✨ The Rebellious Room | An interactive design exhibition ✨✨
Exhibition,Daisy Sims Hilditch: Into the Light,20 Jul 2023 – 08 Sep 2023,Portland Gallery,"London, United Kingdom",https://www.artrabbit.com/events/daisy-sims-hilditch-into-the-light,img.artrabbit.com/events/daisy-sims-hilditch-into-the-light/images/AVBLp2HdmBz4/350x271/Pink-Horizon.jpg,Daisy Sims Hilditch: Into the Light,"Portland Gallery is delighted to present Into the Light, an exhibition of paintings from Italy, Switzerland, Norfolk and London by Daisy Sims Hilditch. “It is light that excites me and drives me to pick up my brushes and paint. My paintings are a celebration of light and I am fascinated by exploring tonal relationships in order to express the particular light effect before me.” – Daisy Sims Hilditch"
Exhibition,“‘Surging Silence'” Curated By Nanying Zhu And Jingxuan Lyu,20 Jul 2023 – 16 Aug 2023,Hypha Studios,"London, United Kingdom",https://www.artrabbit.com/events/surging-silence-curated-by-nanying-zhu-and-jingxuan-lyu,img.artrabbit.com/events/surging-silence-curated-by-nanying-zhu-and-jingxuan-lyu/images/ymcVaX63YKuT/350x622/SURGING-SILENCE-Potrait-poster.jpg,“‘Surging Silence'” Curated By Nanying Zhu And Jingxuan Lyu,"Based on a cross-cultural and geographical perspective of borders, 21 artists focus on the ongoing flux brought about by social rules and spatial shackles as identity fluidly occurs. In collaboration with Hypha Studios, ‘Surging Silence’ presents works from 21 emerging global artists. Based on a cross-cultural and geographical perspective of borders, they focus on the ongoing flux, exploring the intense emotional changes and bodily perceptions brought about by social rules and spatial shackles as identity fluidly occurs. This exhibition demonstrates how artists re-examine individual experiences in the context of disordered time and fractured territories."
Exhibition,Beyond a Priori,20 Jul 2023 – 23 Jul 2023,SEASON Gallery,"London, United Kingdom",https://www.artrabbit.com/events/beyond-a-priori,img.artrabbit.com/events/beyond-a-priori/images/lWivary2PsCW/350x290/season-gallery.jpg,Beyond a Priori,"📣 We invite you to engage with interactive installations, sound landscapes, videos, web-based experiences, and sculptures that each reimagine the future of digitized intelligence! 📣"
Exhibition,Black Venus,20 Jul 2023 – 24 Sep 2023,Somerset House,"London, United Kingdom",https://www.artrabbit.com/events/black-venus,img.artrabbit.com/events/black-venus/images/mm0DduXlU1Km/350x228/Smith-Grace-on-a-Motorcycle-1978-framed-PH0017-300dpi-1.jpg,Black Venus,"An exhibition examining the historical representation and shifting legacy of Black women in visual culture. BLACK VENUS, curated by Aindrea Emelife, examines the historical representation and shifting legacy of Black women in visual culture. This Somerset House exhibition brings together the work of over 20 Black women and non-binary artists to explore the othering, fetishisation and reclamation of narratives around Black femininity. "
Student Show,Microclimates: MA Global Collaborative Design Practice,20 Jul 2023 – 27 Jul 2023,"Peckham Level,  5 Auditorium","London, United Kingdom",https://www.artrabbit.com/events/microclimates-ma-global-collaborative-design-practice,img.artrabbit.com/events/microclimates-ma-global-collaborative-design-practice/images/WbsUpbfQaOOj/350x175/https-cdn-evbuc-com-images-548885499-185350615260-1-original.jpg,Microclimates: MA Global Collaborative Design Practice,"Microclimates is a celebration of work from MA Global Collaborative Design Practice students, showcasing how new forms of design can intervene at the intersection of social and climate justice. The exhibition playfully explores how ecosystems of multidisciplinary projects can work together to create global change."
Exhibition,Heatherleys’ Annual Diploma Graduates’ Show,19 Jul 2023 – 23 Jul 2023,The Heatherleys School of Fine Art,"London, United Kingdom",https://www.artrabbit.com/events/heatherleys-annual-diploma-graduates-show,img.artrabbit.com/events/heatherleys-annual-diploma-graduates-show/images/wIb9WDq7MCDZ/350x350/Painting-by-Sara-Edison.jpg,Heatherleys’ Annual Diploma Graduates’ Show,"An exhibition of work from by students and gradates of The Diploma in Portraiture and The Diploma and Post Diploma in Figurative Sculpture.

Free admission | No booking required The Heatherleys Annual Diploma Graduates’ Exhibition is an excellent opportunity to see the the work of our current and grauating students."
Exhibition,Short Lived,19 Jul 2023 – 16 Aug 2023,Hypha Studios,"London, United Kingdom",https://www.artrabbit.com/events/short-lived,img.artrabbit.com/events/short-lived/images/sgd63eQ6hIh5/350x175/SL-eventbrite-header-28-06.jpg,Short Lived,"Short Lived is a presentation of sculptural works by eight emerging artists/collectives, curated by independent curator Georgia Stephenson. Exhibited artists are Charlotte Cullen, F.A.F Collective, Elliot Fox, Celeste McEvoy, Sarah Roberts, Yuli Serfaty, Oona Wilkinson and Rosalind Wilson. Selected works in the exhibition explore how the conditions we find ourselves in force us to adapt. Be that as artists and the practice we develop, or as citizens and the relationships we build with spaces, objects, and each other. Exhibited sculptures will ask, how long can we stay, how much can we keep and who is it that ultimately decides?"
Exhibition,CIRCA 20:23 presents Dick Jewell,19 Jul 2023 – 31 Aug 2023,CIRCA,"London, United Kingdom",https://www.artrabbit.com/events/circa-2023-presents-dick-jewell,img.artrabbit.com/events/circa-2023-presents-dick-jewell/images/zLCEtd9UqPN8/350x137/WAR-PEACE-by-Dick-Jewell-Courtesy-of-the-Artist.jpg,CIRCA 20:23 presents Dick Jewell,"CIRCA 20:23 presents 'WAR & PEACE', an audience participatory work by cult-famed multidisciplinary artist, Dick Jewell. The Cultural Institute of Radical Contemporary Arts (CIRCA) is proud to present WAR & PEACE, an audience participatory work by cult-famed multidisciplinary artist, Dick Jewell. "
Exhibition,A Garden of Words: a Story of the Stone Retold by the Stones,19 Jul 2023 – 23 Sep 2023,Brunei Gallery,"London, United Kingdom",https://www.artrabbit.com/events/a-garden-of-words-a-story-of-the-stone-retold-by-the-stones,img.artrabbit.com/events/a-garden-of-words-a-story-of-the-stone-retold-by-the-stones/images/eIxtIvAhAswu/350x140/IMG-2506.jpg,A Garden of Words: a Story of the Stone Retold by the Stones,"This site-specific installation (or conceptual art exhibition) presents a set of stones - whose textures strikingly resemble the 26 letters in the English alphabet - all found in nature, arranged and re-arranged by artists Qu Leilei and Caroline Deane. If the artists have redefined the stones as contemporary art by changing their utility, their lifespan, their status, the rearrangement of the stones as a reaction to the exhibition space - and the new message that it creates - questions the blurred boundary between art creation and curation today."
Exhibition,DOLLS,19 Jul 2023 – 23 Jul 2023,Ugly Duck,"London, United Kingdom",https://www.artrabbit.com/events/dolls,img.artrabbit.com/events/dolls/images/0Yi6n0cSksOn/350x489/Photo-21-04-2023-14-34-38.jpg,DOLLS,"Artist John Lee Bird will be presenting a major solo exhibition, bringing his new DOLLS project alongside work spanning his 25 year career including large scale paintings, print, drawing and film. ‘Dolls and idols - a way of existence’"
Exhibition,Art House Open Studios Festival Group Show,19 Jul 2023 – 23 Jul 2023,The Landmark Arts Centre,"Teddington, United Kingdom",https://www.artrabbit.com/events/art-house-open-studios-festival-group-show,img.artrabbit.com/events/art-house-open-studios-festival-group-show/images/soneFWED8JVK/350x350/Art-House-Open-Studios-Social-Media-Promo-2023.jpg,Art House Open Studios Festival Group Show,"Local charity Arts Richmond has been commissioned by Richmond Arts Service to coordinate the borough’s open studios festival, Art House, for 2023."
Exhibition,Ismael Rodriguez - The Breathing Island,19 Jul 2023 – 23 Jul 2023,Copeland Gallery,"London, United Kingdom",https://www.artrabbit.com/events/ismael-rodriguez-the-breathing-island,img.artrabbit.com/events/ismael-rodriguez-the-breathing-island/images/do6KgjbFmRYd/350x466/IMG-1712-1.jpg,Ismael Rodriguez - The Breathing Island,"The acclaimed Venezuelan artist's first solo exhibition in London promises to be a captivating and thought-provoking, inviting visitors to embark on a contemplative exploration of nature, memory, and the intricate connections that bind us all. Contemporary visual artist Ismael Rodríguez Fernández is set to captivate audiences with his debut solo show in the vibrant city of London. The eagerly anticipated exhibition, titled The Breathing Island will take place at the esteemed Copeland Gallery in Peckham from Wednesday 19th till Sunday the 23rd of July. "
Exhibition,BARKING,19 Jul 2023 – 25 Jul 2023,postROOM,"London, United Kingdom",https://www.artrabbit.com/events/barking,img.artrabbit.com/events/barking/images/64IxdQXrK0pE/350x466/Barking-2023-tree-human.jpg,BARKING,"Fran Cottell, renowned experimental artist, currently showing at the Barbara Hepworth Gallery, Wakefield in the exhibition  ‘If Not Now, When? Generations of Women in Sculpture in Britain, 1960 – 2022’ ……….is going to put a tree through the house! "
Exhibition,Abstract Art,19 Jul 2023 – 30 Jul 2023,The Brick Lane Gallery,"London, United Kingdom",https://www.artrabbit.com/events/abstract-art-the-brick-lane-gallery-2023,img.artrabbit.com/events/abstract-art-the-brick-lane-gallery-2023/images/C40UsPMmVixt/350x350/Abstract-19th-30th-July-3.jpg,Abstract Art,Join us for our upcoming Abstract Art Exhibition ABSTRACT ART 
Exhibition,Beyond Brutal!,19 Jul 2023 – 23 Aug 2023,Brouhaha,"London, United Kingdom",https://www.artrabbit.com/events/beyond-brutal,img.artrabbit.com/events/beyond-brutal/images/vp1qJxauhJBS/350x494/Insta-Brouhaha-Poster-2023-1.jpg,Beyond Brutal!,"A new collection of technicolour prints, themed on Architecture and Americana. This is my latest collection of prints around the themes of Brutal Architecture and the Barbican, American Automobiles, and Buildings from my Travels.
                                "
Exhibition,Contemporary Painting,19 Jul 2023 – 30 Jul 2023,The Brick Lane Gallery - The Annexe,"London, United Kingdom",https://www.artrabbit.com/events/contemporary-painting-the-brick-lane-gallery-the-annexe,img.artrabbit.com/events/contemporary-painting-the-brick-lane-gallery-the-annexe/images/QA9B4ZbWGf6b/350x350/contemporary-painting.jpg,Contemporary Painting,CONTEMPORARY PAINTING EXHIBITION
Exhibition,Peter Cook. Cities,18 Jul 2023 – 16 Sep 2023,Richard Saltoun,"London, United Kingdom",https://www.artrabbit.com/events/peter-cook-cities,img.artrabbit.com/events/peter-cook-cities/images/JZevk1aimMKw/350x359/Peter-cook-cities-at-Richard-Saltoun.jpg,Peter Cook. Cities,"Richard Saltoun Gallery is honoured to present the visionary work of British architect Sir Peter Cook. Drawing on his work over the past 60 years, the exhibition features a site-specific architectural environment produced especially for the gallery, together with a selection of drawings and paintings that trace the radical conceptual vision underpinning the artist’s oeuvre. Visitors are invited to have a ‘visual discussion’ about cities: cities reimagined and dismembered, and cities climbing over themselves to become new forms. "
Exhibition,Keita Miyazaki. Excess of Desire,18 Jul 2023 – 30 Sep 2023,rosenfeld,"London, United Kingdom",https://www.artrabbit.com/events/keita-miyazaki-excess-of-desire,img.artrabbit.com/events/keita-miyazaki-excess-of-desire/images/PqIEjwaJhBXZ/350x466/galleryrosenfeld-keita-miyazaki-stereo-order-2022.jpg,Keita Miyazaki. Excess of Desire,Keita Miyazaki
Workshop,Life-Size Portrait Sculpture in Clay,17 Jul 2023 – 21 Jul 2023,City & Guilds of London Art School,"London, United Kingdom",https://www.artrabbit.com/events/lifesize-portrait-sculpture-in-clay,img.artrabbit.com/events/lifesize-portrait-sculpture-in-clay/images/gOfq67DDBLJb/350x200/012-20150326-DSD1950-city-guilds-crop-1.jpg,Life-Size Portrait Sculpture in Clay,"A rare opportunity to produce a life-size portrait using clay. Working from a life model each day, you’ll use traditional measuring methods and tools to make an accurate sculpture and learn artistic techniques to capture a sense of character – the only requirement is enthusiasm! Our five-day course is carefully designed to suit beginners and modellers with varied experience. You will work on a one-to-one scale with a life model who will be with us throughout the course. You’ll learn how to use systematic measuring techniques to ensure you sculpt an accurate portrait and discover how to capture a sense of character in your work."
Exhibition,Six at Eight,17 Jul 2023 – 22 Jul 2023,Gallery 8,"London, United Kingdom",https://www.artrabbit.com/events/six-at-eight,img.artrabbit.com/events/six-at-eight/images/BURJ503VCMqt/350x348/WalkingBarefoot.jpg,Six at Eight,"Six at Eight: recent works by Antonia Phillips, Boo Mallinson, Doug Knight, Helen Dean, Jack Dickson and Jane Shaw. Six at Eight showcases the work of six artists working across a range of disciplines. Antonia Phillips, Boo Mallinson, Doug Knight, Helen Dean, Jack Dickson and Jane Shaw have all exhibited regularly across the UK and have pieces in several private collections. Between them these established artists have gained significant recognition and critical acclaim with major commissions, prizes and media appearances such as Portrait Artist of the Year. From digital montage, collage and abstract printmaking to landscape, figurative sculpture and portraiture this eclectic and vibrant show is full of surprises and has something for everyone."
Exhibition,The Newest Perspective: Patrick Hughes,17 Jul 2023 – 08 Sep 2023,Alon Zakaim Fine Art,"London, United Kingdom",https://www.artrabbit.com/events/the-newest-perspective-patrick-hughes,img.artrabbit.com/events/the-newest-perspective-patrick-hughes/images/PQtgDHz4pLSx/350x127/Nature-and-Culture-HiRes-unframed.jpg,The Newest Perspective: Patrick Hughes,"Titled The Newest Perspective, the exhibition will showcase twenty-five new works by Hughes, including his latest development in reverspectives, the Solid Hollows series, and the new multiple edition Paree (2023). The exhibition coincides with the release of Patrick Hughes's new book: “The Newest Perspective”."
Exhibition,Brian Reinker Solo Show,17 Jul 2023 – 23 Jul 2023,54 The Gallery,"London, United Kingdom",https://www.artrabbit.com/events/brian-reinker-solo-show,img.artrabbit.com/events/brian-reinker-solo-show/images/KANal8saeoNy/350x233/brian-3.jpg,Brian Reinker Solo Show,"Brian Reinker's first solo exhibition since 2019 includes a selection of new collage artworks from his recent Strata, Patagonia and Spiral Series. Brian Reinker"
Workshop,Medieval Painting and Manuscript Illumination,17 Jul 2023 – 21 Jul 2023,City & Guilds of London Art School,"London, United Kingdom",https://www.artrabbit.com/events/medieval-painting-and-manuscript-illumination,img.artrabbit.com/events/medieval-painting-and-manuscript-illumination/images/o3HKYDmj3WQP/350x295/IMG-3072-crop.jpg,Medieval Painting and Manuscript Illumination,"Using a combination of modern and traditional materials, we will peel back layers of history to unveil the tools, techniques and methods of Medieval painting and illumination. You will create your own painted and gilded pieces and learn the skills to continue practising the craft at home. The luminous artworks that are often seen adorning the most precious medieval manuscripts, are known as ‘miniatures’. These highly detailed images would function as visual aids and decorative embellishments to the sacred text beside them and were made with some of the most precious materials of the time such as gold leaf, lapis lazuli and vellum."
Exhibition,"Arts Richmond Open Studios, July 2023",15 Jul 2023 – 24 Jul 2023,,"Richmond, United Kingdom",https://www.artrabbit.com/events/arts-richmond-open-studios-july-2023,img.artrabbit.com/events/arts-richmond-open-studios-july-2023/images/x1TGSXduSiRh/350x292/Laura-Parker-Studio-photo-1MB.jpg,"Arts Richmond Open Studios, July 2023","Laura Parker is taking part in Art House Open Studios on 15-16 & 22-23 July. You can see & buy her recent abstract works, &. she will do a brief demonstration of her process at 3pm each day. Richmond artist Laura Parker is throwing open her studio doors to the public as part of the Art House Open Studios festival, being organised across the borough this July by local charity Arts Richmond."
